Address,Building Name,Zip Code,Sub-Market,Bed,Bath,Avg SF,# Units,Mix %,Units Available - Units,Units Available - Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions - %,Year Built,Year Renovated,Units,Land (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Balcony,Walk Score,Transit Score,1-Mile Population,1-Mile Median Household Income,Miles from Domain,Miles fom Downtown,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,1,1,642,24,0.072,2,0.083,965,1.5,903,1.41,0.006,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,2,2,866,150,0.449,14,0.093,1143,1.32,1076,1.24,0.005,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,2,2,883,24,0.072,2,0.083,993,1.12,935,1.06,0.005,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,2,2,902,24,0.072,2,0.083,1018,1.13,959,1.06,0.005,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,2,2,925,64,0.192,6,0.094,1090,1.18,1026,1.11,0.005,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,2,2,951,8,0.024,0,0,1169,1.23,1101,1.16,0.005,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
12425 Mellow Meadow Dr ,The Lantern,78750,Anderson Mill MF,3,2,1230,5,0.015,1,0.2,1645,1.34,1508,1.23,0.005,1983,,334,13.58,9.3,no,0,0,0,60,25,10692,66770,7.95,17.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
