Address,Building Name,Zip Code,Sub-Market,Bed,Bath,Avg SF,# Units,Mix %,Units Available - Units,Units Available - Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions - %,Year Built,Year Renovated,Units,Land (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Balcony,Walk Score,Transit Score,1-Mile Population,1-Mile Median Household Income,Miles from Domain,Miles fom Downtown,,
4100 W Slaughter Ln ,Camden Cedar Hills,78749,Sendera MF,2,2,1174,10,0.048,1,0.1,1909,1.63,1909,1.63,0,2008,,208,28.91,4.3,Yes in unit,1,0,1,20,0,9934,96738,20.44,12.41,,
4100 W Slaughter Ln ,Camden Cedar Hills,78749,Sendera MF,2,2,1208,9,0.043,0,0,1542,1.28,1542,1.28,0,2008,,208,28.91,4.3,Yes in unit,1,0,1,20,0,9934,96738,20.44,12.41,,
4100 W Slaughter Ln ,Camden Cedar Hills,78749,Sendera MF,2,2,1221,9,0.043,0,0,1599,1.31,1599,1.31,0,2008,,208,28.91,4.3,Yes in unit,1,0,1,20,0,9934,96738,20.44,12.41,,
4100 W Slaughter Ln ,Camden Cedar Hills,78749,Sendera MF,2,2.5,1428,16,0.077,2,0.125,2159,1.51,2159,1.51,0,2008,,208,28.91,4.3,Yes in unit,1,0,1,20,0,9934,96738,20.44,12.41,,
3621 W Slaughter Rd,Bell Austin Southwest,78749,Sendera MF,1,1,698,92,0.338,6,0.065,1010,1.45,1010,1.45,0,2012,,272,23.8,8.8,Yes in unit,1,0,0,45,17,8025,97772,20.79,12.76,,
3621 W Slaughter Rd,Bell Austin Southwest,78749,Sendera MF,1,1,815,56,0.206,6,0.107,1085,1.33,1085,1.33,0,2012,,272,23.8,8.8,Yes in unit,1,0,0,45,17,8025,97772,20.79,12.76,,
3621 W Slaughter Rd,Bell Austin Southwest,78749,Sendera MF,1,1,906,26,0.096,6,0.231,1200,1.32,1200,1.32,0,2012,,272,23.8,8.8,Yes in unit,1,0,0,45,17,8025,97772,20.79,12.76,,
3621 W Slaughter Rd,Bell Austin Southwest,78749,Sendera MF,2,2,1119,68,0.25,6,0.088,1395,1.25,1395,1.25,0,2012,,272,23.8,8.8,Yes in unit,1,0,0,45,17,8025,97772,20.79,12.76,,
3621 W Slaughter Rd,Bell Austin Southwest,78749,Sendera MF,2,2,1245,30,0.11,6,0.2,1465,1.18,1465,1.18,0,2012,,272,23.8,8.8,Yes in unit,1,0,0,45,17,8025,97772,20.79,12.76,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,0,1,498,172,0.16,5,0.029,955,1.92,955,1.92,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,1,1,659,160,0.149,5,0.031,955,1.45,955,1.45,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,1,1,697,90,0.087,5,0.056,1030,1.48,1030,1.48,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,2,1,843,50,0.047,0,0,1124,1.33,1124,1.33,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,2,1,867,164,0.153,0,0,1250,1.44,1250,1.44,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,2,2,871,50,0.047,1,0.02,1245,1.43,1245,1.43,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,2,2,910,118,0.11,5,0.042,1185,1.3,1185,1.3,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,2,2,1018,118,0.11,5,0.042,1320,1.3,1320,1.3,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,3,2,1107,100,0.093,5,0.05,1410,1.27,1410,1.27,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
4701 Staggerbrush Rd,Monterey Ranch,78749,East Oak Hill MF,3,2,1160,50,0.047,4,0.08,1455,1.25,1455,1.25,0,1996,2009,1072,79.93,4.5,Yes but not in unit,1,1,0,21,27,9187,92680,16.85,8.82,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,1,1,697,72,0.201,6,0.083,915,1.31,910,1.31,0.005,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,1,1,797,84,0.235,10,0.119,999,1.25,994,1.25,0.005,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,2,1,896,36,0.101,10,0.278,1091,1.22,1000,1.12,0.083,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,2,2,1070,58,0.162,10,0.172,1129,1.06,1035,0.97,0.083,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,2,2,1147,8,0.022,2,0.25,1119,0.98,1026,0.89,0.083,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,2,2,1188,30,0.084,10,0.333,1324,1.11,1214,1.02,0.083,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,2,2,1256,20,0.056,0,0,1350,1.07,1238,0.99,0.083,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,2,2,1262,20,0.056,4,0.2,1329,1.05,1218,0.97,0.083,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
13355 N Highway 183,Toscana Apartments- Austin,78750,Hunter's Chase MF,3,2,1360,30,0.084,2,0.067,1669,1.23,1656,1.22,0.008,2001,,358,23.37,4.2,no,1,0,0,47,25,14211,63220,6.8,16.01,,
12300 Hymeadow Dr,Chesapeake,78750,Anderson Mill MF,1,1,501,64,0.516,19,0.297,829,1.66,808,1.61,0.025,1984,,124,4.03,4,no,1,0,0,49,25,13370,68880,8.11,17.32,,
12300 Hymeadow Dr,Chesapeake,78750,Anderson Mill MF,2,1,746,32,0.258,7,0.219,936,1.25,896,1.2,0.043,1984,,124,4.03,4,no,1,0,0,49,25,13370,68880,8.11,17.32,,
