Address,Building Name,Zip Code,Bed,Bath,Avg SF,# Units,Mix %,Units Available 0 Units,Units Available 0 Percent,Avg Asking Rent/Unit,Avg Asking Rent/SF,Avg Effective Rent/Unit,Avg Effective Rent/SF,Concessions 0 %,Year Built,Year Renovated,Units,Lande (Acres),Vacancy %,Washer/Dryer,Walk in Closet,Hardwood/Vinyl Floor,Walk Score,Transit Score,10Mile Population,10Mile Median Household Income,Miles from Domain,Miles fom Downtown,
1700 E 4th St , Eastside Station,78702,1,1,560,50,15.20%,12,24.00%,"1,543.00",2.76,"1,528.00",2.73,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,612,51,15.50%,12,23.50%,"1,649.00",2.69,"1,633.00",2.67,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,629,23,7.00%,2,8.70%,"1,758.00",2.79,"1,740.00",2.77,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,774,57,17.30%,12,21.10%,"1,796.00",2.32,"1,778.00",2.30,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1,778,74,22.40%,6,8.10%,"1,871.00",2.40,"1,852.00",2.38,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,1,1.5,"1,247",10,3.00%,6,60.00%,"2,426.00",1.95,"2,402.00",1.93,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,992,21,6.40%,6,28.60%,"2,337.00",2.36,"2,314.00",2.33,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,"1,017",8,2.40%,0,0.00%,"2,255.00",2.22,"2,233.00",2.20,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,"1,037",27,8.20%,14,51.90%,"2,521.00",2.43,"2,496.00",2.41,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1700 E 4th St , Eastside Station,78702,2,2,"1,228",9,2.70%,2,22.20%,"2,718.00",2.21,"2,691.00",2.19,1.00%,2016,2016,330,4.34,12.70%,Yes in unit,1,1,88,44,"20,115","70,385",12.6,2.1,
1000 E 5th St , Corazon,78702,0,1,523,12,4.70%,6,50.00%,"1,560.00",2.98,"1,550.00",2.96,0.70%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,0,1,524,12,4.70%,0,0.00%,"1,605.00",3.06,"1,594.00",3.04,0.70%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,0,1,551,12,4.70%,4,33.30%,"1,670.00",3.03,"1,659.00",3.01,0.70%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,581,12,4.70%,2,16.70%,"1,620.00",2.79,"1,612.00",2.77,0.50%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,730,12,4.70%,6,50.00%,"1,870.00",2.56,"1,861.00",2.55,0.50%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,765,12,4.70%,0,0.00%,"1,657.00",2.17,"1,649.00",2.16,0.50%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,770,12,4.70%,0,0.00%,"1,949.00",2.53,"1,940.00",2.52,0.50%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,845,12,4.70%,4,33.30%,"1,945.00",2.30,"1,936.00",2.29,0.50%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,879,19,7.40%,0,0.00%,"1,969.00",2.24,"1,959.00",2.23,0.50%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,1,1,"1,012",21,8.20%,0,0.00%,"2,684.00",2.65,"2,671.00",2.64,0.50%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,2,1,667,21,8.20%,0,0.00%,"1,903.00",2.85,"1,744.00",2.61,8.30%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,2,2,986,21,8.20%,0,0.00%,"2,275.00",2.31,"2,085.00",2.12,8.30%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,2,2,"1,015",21,8.20%,0,0.00%,"2,390.00",2.35,"2,191.00",2.16,8.30%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,2,2,"1,053",19,7.40%,6,31.60%,"2,595.00",2.46,"2,379.00",2.26,8.30%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,2,2,"1,143",19,7.40%,0,0.00%,"2,640.00",2.31,"2,420.00",2.12,8.30%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1000 E 5th St , Corazon,78702,2,2,"1,146",19,7.40%,0,0.00%,"2,648.00",2.31,"2,428.00",2.12,8.30%,2015,2015,256,3.00,3.50%,Yes in unit,1,1,91,59,"20,785","86,269",12.1,1.5,
1630 E 6th St , Indie Apartments,78702,0,1,343,4,2.90%,2,50.00%,"1,395.00",4.07,"1,395.00",4.07,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
1630 E 6th St , Indie Apartments,78702,0,1,355,73,52.50%,2,2.70%,"1,579.00",4.45,"1,579.00",4.45,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
1630 E 6th St , Indie Apartments,78702,0,1,391,18,12.90%,2,11.10%,"1,445.00",3.70,"1,445.00",3.70,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
1630 E 6th St , Indie Apartments,78702,0,1,428,1,0.70%,0,0.00%,"1,395.00",3.26,"1,395.00",3.26,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
1630 E 6th St , Indie Apartments,78702,1,1,466,5,3.60%,0,0.00%,"1,675.00",3.59,"1,675.00",3.59,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
1630 E 6th St , Indie Apartments,78702,1,1,489,8,5.80%,2,25.00%,"1,650.00",3.37,"1,650.00",3.37,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
1630 E 6th St , Indie Apartments,78702,1,1,521,1,0.70%,0,0.00%,"1,650.00",3.17,"1,650.00",3.17,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
1630 E 6th St , Indie Apartments,78702,2,1,528,20,14.40%,2,10.00%,"1,880.00",3.56,"1,880.00",3.56,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
1630 E 6th St , Indie Apartments,78702,2,1,598,9,6.50%,4,44.40%,"2,057.00",3.44,"2,057.00",3.44,0.00%,2018,2018,139,0.50,5.80%,Yes in unit,0,1,88,49,"21,230","67,145",12.6,2,
811 E 11th St , Eleven by Windsor,78702,0,1,416,24,9.30%,4,16.70%,"1,499.00",3.60,"1,364.00",3.28,9.00%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,0,1,485,12,4.70%,2,16.70%,"1,559.00",3.21,"1,419.00",2.92,9.00%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,0,1,729,32,12.50%,8,25.00%,"1,725.00",2.37,"1,570.00",2.15,9.00%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,1,1,678,27,10.50%,4,14.80%,"1,795.00",2.65,"1,787.00",2.64,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,1,1,692,3,1.20%,0,0.00%,"1,570.00",2.27,"1,563.00",2.26,0.40%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,1,1,733,46,17.90%,8,17.40%,"1,870.00",2.55,"1,862.00",2.54,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,1,1,745,23,8.90%,0,0.00%,"1,900.00",2.55,"1,891.00",2.54,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,1,1,750,4,1.60%,0,0.00%,"1,625.00",2.17,"1,618.00",2.16,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,1,1,890,16,6.20%,3,18.80%,"1,869.00",2.10,"1,861.00",2.09,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,1,1,"1,002",4,1.60%,0,0.00%,"2,400.00",2.40,"2,389.00",2.38,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,2,2,"1,007",4,1.60%,0,0.00%,"2,199.00",2.18,"2,188.00",2.17,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,2,2,"1,020",32,12.50%,0,0.00%,"2,299.00",2.25,"2,288.00",2.24,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,2,2,"1,127",18,7.00%,2,11.10%,"2,449.00",2.17,"2,437.00",2.16,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,2,2,"1,271",4,1.60%,0,0.00%,"2,737.00",2.15,"2,724.00",2.14,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
811 E 11th St , Eleven by Windsor,78702,2,2.5,"1,266",8,3.10%,0,0.00%,"2,449.00",1.93,"2,437.00",1.93,0.50%,2013,2013,257,2.66,2.70%,Yes in unit,1,1,88,65,"18,940","89,023",11.6,1,
3300 Gonzales St , The Guthrie,78702,0,1,400,92,28.60%,1,1.10%,"1,275.00",3.19,"1,169.00",2.92,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,0,1,454,2,0.60%,2,100.00%,"1,395.00",3.07,"1,279.00",2.82,8.40%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,0,1,596,4,1.20%,4,100.00%,"1,455.00",2.44,"1,334.00",2.24,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1,598,48,14.90%,20,41.70%,"1,525.00",2.55,"1,398.00",2.34,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1,676,10,3.10%,8,80.00%,"1,685.00",2.49,"1,545.00",2.28,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1,693,50,15.50%,4,8.00%,"1,593.00",2.30,"1,460.00",2.11,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1,715,27,8.40%,12,44.40%,"1,635.00",2.29,"1,499.00",2.10,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1,747,4,1.20%,0,0.00%,"1,505.00",2.01,"1,380.00",1.85,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1,819,8,2.50%,0,0.00%,"1,906.00",2.33,"1,747.00",2.13,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1,831,5,1.60%,0,0.00%,"1,700.00",2.05,"1,558.00",1.88,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1.5,"1,012",3,0.90%,0,0.00%,"2,805.00",2.77,"2,571.00",2.54,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1.5,"1,281",2,0.60%,2,100.00%,"2,455.00",1.92,"2,250.00",1.76,8.40%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,1,1.5,"1,494",4,1.20%,4,100.00%,"2,805.00",1.88,"2,571.00",1.72,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,2,2,"1,236",18,5.60%,12,66.70%,"2,449.00",1.98,"2,245.00",1.82,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,2,2,"1,250",29,9.00%,9,31.00%,"2,527.00",2.02,"2,317.00",1.85,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,2,2,"1,303",12,3.70%,6,50.00%,"2,680.00",2.06,"2,457.00",1.89,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
3300 Gonzales St , The Guthrie,78702,2,2.5,"1,464",4,1.20%,0,0.00%,"2,965.00",2.03,"2,718.00",1.86,8.30%,2018,2018,322,,88.80%,Yes in unit,0,1,73,45,"12,029","45,082",13.8,3.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,0,1,544,22,6.20%,2,9.10%,"1,793.00",3.30,"1,793.00",3.30,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1,612,111,31.30%,14,12.60%,"1,537.00",2.51,"1,537.00",2.51,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1,729,79,22.30%,4,5.10%,"1,652.00",2.27,"1,652.00",2.27,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1,845,3,0.80%,0,0.00%,"1,961.00",2.32,"1,961.00",2.32,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1,850,3,0.80%,0,0.00%,"1,971.00",2.32,"1,971.00",2.32,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1,897,28,7.90%,1,3.60%,"2,024.00",2.26,"2,024.00",2.26,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1,900,1,0.30%,0,0.00%,"2,026.00",2.25,"2,026.00",2.25,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1,"1,009",3,0.80%,0,0.00%,"2,086.00",2.07,"2,086.00",2.07,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1,"1,146",3,0.80%,0,0.00%,"1,910.00",1.67,"1,910.00",1.67,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,1,1.5,"1,092",6,1.70%,0,0.00%,"2,270.00",2.08,"2,270.00",2.08,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2,"1,096",22,6.20%,1,4.60%,"2,065.00",1.88,"2,065.00",1.88,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2,"1,137",27,7.60%,1,3.70%,"2,039.00",1.79,"2,039.00",1.79,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2,"1,193",3,0.80%,1,33.30%,"2,193.00",1.84,"2,193.00",1.84,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2,"1,250",15,4.20%,1,6.70%,"2,461.00",1.97,"2,461.00",1.97,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2,"1,259",16,4.50%,0,0.00%,"2,185.00",1.74,"2,185.00",1.74,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2,"1,445",3,0.80%,0,0.00%,"2,250.00",1.56,"2,250.00",1.56,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2,"1,481",3,0.80%,0,0.00%,"2,275.00",1.54,"2,275.00",1.54,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2,"1,560",3,0.80%,1,33.30%,"2,400.00",1.54,"2,400.00",1.54,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
2823 E Martin Luther King Jr Blvd , Platform,78702,2,2.5,"1,414",4,1.10%,2,50.00%,"2,665.00",1.88,"2,665.00",1.88,0.00%,2016,2016,355,0.18,5.40%,Yes in unit,1,1,68,51,"17,348","62,846",11.3,2.2,
801 W 5th St , The Monarch by Windsor,78703,1,1,681,2,0.70%,0,0.00%,"1,779.00",2.61,"1,779.00",2.61,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,1,1,888,103,33.80%,4,3.90%,"2,057.00",2.32,"2,057.00",2.32,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,1,1,908,15,4.90%,6,40.00%,"1,975.00",2.18,"1,975.00",2.18,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,1,1,910,8,2.60%,0,0.00%,"2,271.00",2.50,"2,271.00",2.50,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,1,1,933,8,2.60%,2,25.00%,"2,060.00",2.21,"2,060.00",2.21,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,1,1,"1,105",22,7.20%,0,0.00%,"2,535.00",2.29,"2,535.00",2.29,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,2,2,"1,374",73,23.90%,6,8.20%,"3,765.00",2.74,"3,765.00",2.74,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,2,2,"1,427",24,7.90%,2,8.30%,"3,405.00",2.39,"3,405.00",2.39,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,2,2.5,"1,994",4,1.30%,0,0.00%,"5,188.00",2.60,"5,188.00",2.60,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,2,2.5,"2,413",4,1.30%,0,0.00%,"9,924.00",4.11,"9,924.00",4.11,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,3,3,"2,554",22,7.20%,4,18.20%,"5,655.00",2.21,"5,655.00",2.21,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,3,3.5,"2,861",8,2.60%,0,0.00%,"8,851.00",3.09,"8,851.00",3.09,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,3,3.5,"2,945",4,1.30%,0,0.00%,"7,963.00",2.70,"7,963.00",2.70,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,3,3.5,"2,985",4,1.30%,0,0.00%,"8,371.00",2.80,"8,371.00",2.80,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
801 W 5th St , The Monarch by Windsor,78703,3,3.5,"3,530",4,1.30%,0,0.00%,"13,220.00",3.75,"13,220.00",3.75,0.00%,2009,2009,305,2.11,3.90%,Yes in unit,1,1,93,70,"19,993","106,155",11.6,1.5,
1616 W 6th St , Sixth Street West Apartments,78703,0,1,400,1,0.80%,0,0.00%,850.00,2.13,847.00,2.12,0.40%,1961,2000,128,2.40,1.60%,Yes but not in unit,0,1,81,43,"15,842","95,355",10.3,2.6,
1616 W 6th St , Sixth Street West Apartments,78703,1,1,530,8,6.30%,1,12.50%,"1,095.00",2.07,"1,091.00",2.06,0.40%,1961,2000,128,2.40,1.60%,Yes but not in unit,0,1,81,43,"15,842","95,355",10.3,2.6,
1616 W 6th St , Sixth Street West Apartments,78703,1,1,550,99,77.30%,0,0.00%,"1,174.00",2.13,"1,169.00",2.13,0.40%,1961,2000,128,2.40,1.60%,Yes but not in unit,0,1,81,43,"15,842","95,355",10.3,2.6,
1616 W 6th St , Sixth Street West Apartments,78703,2,1,700,20,15.60%,0,0.00%,"1,495.00",2.14,"1,491.00",2.13,0.30%,1961,2000,128,2.40,1.60%,Yes but not in unit,0,1,81,43,"15,842","95,355",10.3,2.6,
311 Bowie St , Bowie,78703,0,1,448,30,8.40%,0,0.00%,"1,572.00",3.51,"1,572.00",3.51,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,0,1,534,30,8.40%,0,0.00%,"1,808.00",3.39,"1,808.00",3.39,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,1,1,692,15,4.20%,2,13.30%,"2,556.00",3.69,"2,556.00",3.69,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,1,1,702,15,4.20%,0,0.00%,"2,597.00",3.70,"2,597.00",3.70,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,1,1,703,15,4.20%,2,13.30%,"2,767.00",3.94,"2,767.00",3.94,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,1,1,837,15,4.20%,6,40.00%,"2,729.00",3.26,"2,729.00",3.26,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,1,1,842,30,8.40%,12,40.00%,"2,882.00",3.42,"2,882.00",3.42,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,1,1,872,30,8.40%,4,13.30%,"3,066.00",3.52,"3,066.00",3.52,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,1,1,896,15,4.20%,6,40.00%,"2,906.00",3.24,"2,906.00",3.24,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,1,1,938,15,4.20%,0,0.00%,"3,121.00",3.33,"3,121.00",3.33,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
311 Bowie St , Bowie,78703,2,2,"1,092",9,2.50%,2,22.20%,"3,310.00",3.03,"3,310.00",3.03,0.00%,2015,2015,358,,8.10%,Yes in unit,1,1,95,68,"19,627","104,316",11.5,1.5,
